subcategory_id,title,framework_id,category_id,description
ID.RA-01,Vulnerabilities in organizational systems are identified and documented,NIST_CSF_2.0,Identify_Risk Assessment,Vulnerabilities in organizational systems are identified and documented
ID.RA-04,Potential business impacts of threats are understood,NIST_CSF_2.0,Identify_Risk Assessment,Potential business impacts of threats are understood
ID.RA-05,Threats to organizational systems and assets are identified and documented,NIST_CSF_2.0,Identify_Risk Assessment,Threats to organizational systems and assets are identified and documented
ID.RA-06,Risk responses are planned and managed,NIST_CSF_2.0,Identify_Risk Assessment,Risk responses are planned and managed
ID.AM-08,Assets are managed throughout their lifecycle,NIST_CSF_2.0,Identify_Asset Management,Assets are managed throughout their lifecycle
ID.AM-02,Software platforms and applications within the organization are inventoried,NIST_CSF_2.0,Identify_Asset Management,Software platforms and applications within the organization are inventoried
ID.IM-01,Security policies and procedures are established,NIST_CSF_2.0,Identify_Improvement Management,Security policies and procedures are established
ID.IM-02,Recovery objectives are established and communicated,NIST_CSF_2.0,Identify_Improvement Management,Recovery objectives are established and communicated
ID.IM-03,Recovery procedures are developed and tested,NIST_CSF_2.0,Identify_Improvement Management,Recovery procedures are developed and tested
ID.IM-04,Incident response procedures are established and tested,NIST_CSF_2.0,Identify_Improvement Management,Incident response procedures are established and tested
GV.RM-01,Organizational risk management strategy is established,NIST_CSF_2.0,Govern_Risk Management,Organizational risk management strategy is established
GV.RM-02,Information and assets are formally managed,NIST_CSF_2.0,Govern_Risk Management,Information and assets are formally managed
GV.RM-03,Risk management is integrated into organizational processes,NIST_CSF_2.0,Govern_Risk Management,Risk management is integrated into organizational processes
GV.RM-04,Risk responses are selected and prioritized,NIST_CSF_2.0,Govern_Risk Management,Risk responses are selected and prioritized
GV.PO-01,Organizational cybersecurity policy is established and communicated,NIST_CSF_2.0,Govern_Policy,Organizational cybersecurity policy is established and communicated
GV.RR-01,Cybersecurity roles and responsibilities are clearly defined,NIST_CSF_2.0,Govern_Roles & Responsibilities,Cybersecurity roles and responsibilities are clearly defined
GV.RR-02,Organizational leadership demonstrates commitment to cybersecurity,NIST_CSF_2.0,Govern_Roles & Responsibilities,Organizational leadership demonstrates commitment to cybersecurity
GV.RR-03,Legal and regulatory requirements are understood and managed,NIST_CSF_2.0,Govern_Roles & Responsibilities,Legal and regulatory requirements are understood and managed
GV.RR-04,Cybersecurity is integrated into human resources practices,NIST_CSF_2.0,Govern_Roles & Responsibilities,Cybersecurity is integrated into human resources practices
GV.SC-01,Supply chain cybersecurity risk management is established,NIST_CSF_2.0,Govern_Supply Chain,Supply chain cybersecurity risk management is established
GV.SC-02,Suppliers and partners are managed to meet cybersecurity requirements,NIST_CSF_2.0,Govern_Supply Chain,Suppliers and partners are managed to meet cybersecurity requirements
GV.SC-03,Contracts include cybersecurity requirements,NIST_CSF_2.0,Govern_Supply Chain,Contracts include cybersecurity requirements
GV.SC-04,Cybersecurity risks in supply chain are assessed and monitored,NIST_CSF_2.0,Govern_Supply Chain,Cybersecurity risks in supply chain are assessed and monitored
GV.SC-05,Cybersecurity requirements are integrated into contracts with third parties,NIST_CSF_2.0,Govern_Supply Chain,Cybersecurity requirements are integrated into contracts with third parties
GV.OV-01,Organizational risk profile is established and maintained,NIST_CSF_2.0,Govern_Oversight,Organizational risk profile is established and maintained
GV.OV-02,Organizational strategy is aligned with cybersecurity strategy,NIST_CSF_2.0,Govern_Oversight,Organizational strategy is aligned with cybersecurity strategy
GV.OV-03,Cybersecurity risk management is reviewed and updated,NIST_CSF_2.0,Govern_Oversight,Cybersecurity risk management is reviewed and updated
PR.AA-01,Identities and credentials are issued and managed,NIST_CSF_2.0,Protect_Access & Authentication,Identities and credentials are issued and managed
PR.AA-02,Physical and logical access to assets is managed,NIST_CSF_2.0,Protect_Access & Authentication,Physical and logical access to assets is managed
PR.AA-03,Subjects are authenticated prior to being granted access,NIST_CSF_2.0,Protect_Access & Authentication,Subjects are authenticated prior to being granted access
PR.AA-04,Access permissions and authorizations are managed,NIST_CSF_2.0,Protect_Access & Authentication,Access permissions and authorizations are managed
PR.AA-05,"Access permissions are defined, managed, and enforced",NIST_CSF_2.0,Protect_Access & Authentication,"Access permissions are defined, managed, and enforced"
PR.AA-06,Physical access to assets is managed and monitored,NIST_CSF_2.0,Protect_Access & Authentication,Physical access to assets is managed and monitored
PR.AT-01,Personnel awareness and training program is established and managed,NIST_CSF_2.0,Protect_Awareness & Training,Personnel awareness and training program is established and managed
PR.AT-02,Specialized training is provided to personnel with security responsibilities,NIST_CSF_2.0,Protect_Awareness & Training,Specialized training is provided to personnel with security responsibilities
PR.DS-01,Data-at-rest is protected,NIST_CSF_2.0,Protect_Data Security,Data-at-rest is protected
PR.DS-02,Data-in-transit is protected,NIST_CSF_2.0,Protect_Data Security,Data-in-transit is protected
PR.DS-03,Assets are formally managed throughout their lifecycle,NIST_CSF_2.0,Protect_Data Security,Assets are formally managed throughout their lifecycle
PR.DS-11,Backups are conducted and protected,NIST_CSF_2.0,Protect_Data Security,Backups are conducted and protected
PR.PS-01,Configuration management practices are established,NIST_CSF_2.0,Protect_Platform Security,Configuration management practices are established
PR.PS-04,Logging and tracing capabilities are configured,NIST_CSF_2.0,Protect_Platform Security,Logging and tracing capabilities are configured
PR.PS-05,Software and hardware is monitored and managed,NIST_CSF_2.0,Protect_Platform Security,Software and hardware is monitored and managed
PR.IR-01,Network is protected from malware and unauthorized access,NIST_CSF_2.0,Protect_Infrastructure,Network is protected from malware and unauthorized access
PR.IR-02,Facilities are protected from environmental and physical threats,NIST_CSF_2.0,Protect_Infrastructure,Facilities are protected from environmental and physical threats
PR.IR-03,Resilience is designed into systems and processes,NIST_CSF_2.0,Protect_Infrastructure,Resilience is designed into systems and processes
DE.AE-01,A baseline of network operations is established,NIST_CSF_2.0,Detect_Adverse Events,A baseline of network operations is established
DE.AE-02,Suspected security events are analyzed,NIST_CSF_2.0,Detect_Adverse Events,Suspected security events are analyzed
DE.AE-03,Incident alert thresholds are established,NIST_CSF_2.0,Detect_Adverse Events,Incident alert thresholds are established
DE.AE-04,Incident alert thresholds are monitored and updated,NIST_CSF_2.0,Detect_Adverse Events,Incident alert thresholds are monitored and updated
DE.AE-05,Behavioral analytics are enabled to detect anomalies,NIST_CSF_2.0,Detect_Adverse Events,Behavioral analytics are enabled to detect anomalies
DE.CM-01,Networks and systems are monitored for anomalies,NIST_CSF_2.0,Detect_Continuous Monitoring,Networks and systems are monitored for anomalies
DE.CM-03,Personnel activity is monitored and analyzed,NIST_CSF_2.0,Detect_Continuous Monitoring,Personnel activity is monitored and analyzed
DE.CM-04,Malicious code is detected and prevented,NIST_CSF_2.0,Detect_Continuous Monitoring,Malicious code is detected and prevented
DE.CM-09,Computing hardware and software are monitored,NIST_CSF_2.0,Detect_Continuous Monitoring,Computing hardware and software are monitored
RS.RP-01,Recovery plan is executed during incidents,NIST_CSF_2.0,Respond_Recovery Planning,Recovery plan is executed during incidents
RS.RP-02,Incident impact is contained,NIST_CSF_2.0,Respond_Recovery Planning,Incident impact is contained
RS.RP-03,Backup systems are available and tested,NIST_CSF_2.0,Respond_Recovery Planning,Backup systems are available and tested
RS.AN-01,Incident information is captured,NIST_CSF_2.0,Respond_Analysis,Incident information is captured
RS.AN-02,Incident severity and impact are determined,NIST_CSF_2.0,Respond_Analysis,Incident severity and impact are determined
RS.AN-03,Incidents are analyzed to understand root cause,NIST_CSF_2.0,Respond_Analysis,Incidents are analyzed to understand root cause
RS.AN-06,Incident investigation findings are documented,NIST_CSF_2.0,Respond_Analysis,Incident investigation findings are documented
RS.MA-01,Incident response plan is executed,NIST_CSF_2.0,Respond_Mitigation & Action,Incident response plan is executed
RS.MA-02,Incident response metrics are collected,NIST_CSF_2.0,Respond_Mitigation & Action,Incident response metrics are collected
RS.MI-01,Containment procedures are executed,NIST_CSF_2.0,Respond_Mitigation & Action,Containment procedures are executed
RS.CO-01,Personnel acknowledgment of incident reporting responsibilities is confirmed,NIST_CSF_2.0,Respond_Communications,Personnel acknowledgment of incident reporting responsibilities is confirmed
RS.CO-02,Incident information is provided to stakeholders,NIST_CSF_2.0,Respond_Communications,Incident information is provided to stakeholders
RS.CO-03,Recovery activities are communicated to stakeholders,NIST_CSF_2.0,Respond_Communications,Recovery activities are communicated to stakeholders
RC.RP-01,Recovery plan execution is initiated,NIST_CSF_2.0,Recover_Recovery Planning,Recovery plan execution is initiated
RC.RP-02,Recovery plan execution progress is monitored,NIST_CSF_2.0,Recover_Recovery Planning,Recovery plan execution progress is monitored
RC.RP-03,Recovery plan assumptions are validated,NIST_CSF_2.0,Recover_Recovery Planning,Recovery plan assumptions are validated
RC.RP-04,Recovery plan objectives are achieved,NIST_CSF_2.0,Recover_Recovery Planning,Recovery plan objectives are achieved
RC.RP-05,Recovery activities are verified and validated,NIST_CSF_2.0,Recover_Recovery Planning,Recovery activities are verified and validated
RC.CO-01,Recovery activities are coordinated with stakeholders,NIST_CSF_2.0,Recover_Coordination,Recovery activities are coordinated with stakeholders
RC.CO-02,Recovery status is communicated to internal and external stakeholders,NIST_CSF_2.0,Recover_Coordination,Recovery status is communicated to internal and external stakeholders
RC.CO-03,Recovery activities are prioritized,NIST_CSF_2.0,Recover_Coordination,Recovery activities are prioritized
RC.IM-01,Improvements are identified from recovery activities,NIST_CSF_2.0,Recover_Improvements,Improvements are identified from recovery activities
