requirement_id,section_id,subtitle_id,heading,description,requirement_type,implementation_scope,responsible_entity,compliance_timeline,verification_method,domain_covered,priority,status,key_controls,related_sections
HITECH-13400-R1,13400,HITECH_SUBTITLE_A,Definitions - Unsecured PHI Definition,Organizations must understand and apply statutory definition of unsecured PHI in all compliance activities,Definitional,Enterprise-wide,Covered Entities and Business Associates,Immediate upon enactment,Compliance documentation review,Privacy & Security Foundation,High,Active,Documentation of definitions; Training materials; Policy statements,Section 4; Section 5; Section 8
HITECH-13400-R2,13400,HITECH_SUBTITLE_A,Definitions - Breach Definition,Organizations must consistently apply statutory definition of breach requiring notification,Definitional,Enterprise-wide,Covered Entities and Business Associates,Immediate upon enactment,Breach assessment procedures review,Breach Notification Framework,High,Active,Breach definition in policies; Assessment procedures; Decision documentation,Section 4; Section 13402
HITECH-13400-R3,13400,HITECH_SUBTITLE_A,Definitions - Compromise Presumption,Organizations must understand compromise presumption requirement that breaches compromise PHI unless proven otherwise,Definitional,Enterprise-wide,Covered Entities and Business Associates,Immediate upon enactment,Risk assessment documentation,Breach Risk Assessment,High,Active,Risk assessment process; Mitigation measures documentation,Section 4
HITECH-13400-R4,13400,HITECH_SUBTITLE_A,Definitions - Business Associate Liability,Organizations must recognize that business associates are directly liable for HIPAA violations with same penalties as covered entities,Definitional,Enterprise-wide,Covered Entities and Business Associates,Immediate upon enactment,Business Associate Agreements review,Business Associate Accountability,High,Active,BAA language; Compliance monitoring procedures,Section 6; Section 13405; Section 13423
HITECH-13402-R1,13402,HITECH_SUBTITLE_D,Breach Notification - Individual Notification,Covered entities must notify affected individuals of breaches of unsecured PHI without unreasonable delay no later than 60 calendar days,Operational,Enterprise-wide,Covered Entities,Within 60 days of discovery,Notification records; Delivery confirmation,Breach Notification Framework,High,Active,Notification templates; Contact procedures; Delivery tracking,Section 4; Section 13404
HITECH-13402-R2,13402,HITECH_SUBTITLE_D,Breach Notification - Media Notification,Covered entities must notify prominent media outlets if breach affects 500 or more residents in same state or jurisdiction within 60 calendar days,Operational,Enterprise-wide,Covered Entities,Within 60 days of discovery,Media notification records; Press release documentation,Breach Notification Framework,High,Active,Media contact lists; Press release templates; Delivery tracking,Section 4
HITECH-13402-R3,13402,HITECH_SUBTITLE_D,Breach Notification - HHS Notification,Covered entities must notify HHS without unreasonable delay and no later than 60 calendar days for breaches affecting 500+ individuals or annually for smaller breaches,Operational,Enterprise-wide,Covered Entities,Within 60 days of discovery,HHS notification letter; Receipt confirmation,Breach Notification Framework,High,Active,HHS reporting form; Submission procedures; Tracking logs,Section 4
HITECH-13402-R4,13402,HITECH_SUBTITLE_D,Breach Notification - Content Requirements,Breach notifications must include breach description dates affected individuals categories of PHI involved recommended individual steps entity investigation steps and contact information,Operational,Enterprise-wide,Covered Entities,Within notification timeline,Notification content review; Template compliance,Breach Notification Framework,High,Active,Notification templates; Content checklist; Quality review,Section 4
HITECH-13402-R5,13402,HITECH_SUBTITLE_D,Breach Notification - Timeliness,Notification must occur without unreasonable delay but in all cases within 60 calendar days of discovery of breach,Operational,Enterprise-wide,Covered Entities,Continuous monitoring,Notification records with timestamps,Breach Notification Framework,High,Active,Breach discovery log; Timeline tracking; Compliance monitoring,Section 4
HITECH-13404-R1,13404,HITECH_SUBTITLE_A,Business Associate Breach Notification,Business associates must notify covered entities of any breach of unsecured PHI without unreasonable delay no later than 60 calendar days from discovery,Operational,Enterprise-wide,Business Associates,Within 60 days of discovery,Breach notification letter; Delivery confirmation; Affected individual list,Business Associate Accountability,High,Active,BA notification procedures; Contact lists; Escalation procedures,Section 6; Section 13405
HITECH-13404-R2,13404,HITECH_SUBTITLE_A,Business Associate Breach Detail Requirement,Business associates must provide detailed breach information including affected individuals PHI types mitigation steps and investigation results to enable covered entity notification,Operational,Enterprise-wide,Business Associates,Within 60 days of discovery,Breach detail documentation; Information completeness review,Business Associate Accountability,High,Active,BA breach form; Information checklists; Documentation requirements,Section 6
HITECH-13405-R1,13405,HITECH_SUBTITLE_A,Business Associate Agreement Requirement,Covered entities must execute written Business Associate Agreements with all entities that create receive maintain or transmit PHI on their behalf,Contractual,Enterprise-wide,Covered Entities,Ongoing,Contract file review; Agreement verification,Business Associate Accountability,High,Active,BAA template; Execution tracking; Version control,Section 6
HITECH-13405-R2,13405,HITECH_SUBTITLE_A,Business Associate Agreement - Permitted Uses and Disclosures,Business Associate Agreements must specify exactly which uses and disclosures of PHI are permitted and for what purposes,Contractual,Enterprise-wide,Covered Entities,Ongoing,BAA clause review; Scope verification,Business Associate Accountability,High,Active,BAA permitted uses clauses; Scope definition; Change procedures,Section 6
HITECH-13405-R3,13405,HITECH_SUBTITLE_A,Business Associate Agreement - Safeguard Requirements,Business Associate Agreements must require business associates to implement HIPAA Security Rule safeguards and Privacy Rule restrictions,Contractual,Enterprise-wide,Covered Entities,Ongoing,BAA clause review; Safeguard verification,Business Associate Accountability,High,Active,Safeguard requirements clauses; Compliance verification; Audit procedures,Section 6
HITECH-13405-R4,13405,HITECH_SUBTITLE_A,Business Associate Agreement - Breach Notification,Business Associate Agreements must require business associates to notify covered entities of breaches within 60 calendar days,Contractual,Enterprise-wide,Covered Entities,Ongoing,BAA clause review; Notification procedures,Business Associate Accountability,High,Active,Breach notification clauses; Contact procedures; Escalation paths,Section 6
HITECH-13405-R5,13405,HITECH_SUBTITLE_A,Business Associate Agreement - Subcontractor Management,Business Associate Agreements must require management of subcontractors with same HIPAA and HITECH compliance obligations through written agreements,Contractual,Enterprise-wide,Covered Entities,Ongoing,Subcontractor agreement review; Flow-down verification,Business Associate Accountability,High,Active,Subcontractor management clauses; Flow-down templates; Monitoring procedures,Section 6; Section 13423
HITECH-13406-R1,13406,HITECH_SUBTITLE_D,Penalty - Tier 1 Unknowing Violation,Penalties for unknowing violations range from $100 to $50000 per violation with annual cap of $1.5 million,Penalty,Entity-specific,HHS OCR,Per violation,Penalty assessment documentation,Enforcement & Penalties,High,Active,Corrective action plan; Compliance evidence; Risk mitigation,Section 5
HITECH-13406-R2,13406,HITECH_SUBTITLE_D,Penalty - Tier 2 Reasonable Cause Violation,Penalties for reasonable cause violations range from $1000 to $50000 per violation with annual cap of $1.5 million,Penalty,Entity-specific,HHS OCR,Per violation,Penalty assessment documentation,Enforcement & Penalties,High,Active,Corrective action plan required; Compliance evidence,Section 5
HITECH-13406-R3,13406,HITECH_SUBTITLE_D,Penalty - Tier 3 Willful Neglect (Corrected),Penalties for willful neglect violations corrected within 30 days range from $10000 to $50000 per violation minimum $100000 annually with cap of $1.5 million,Penalty,Entity-specific,HHS OCR,Per violation,Penalty assessment documentation,Enforcement & Penalties,High,Active,Corrective action plan; Prompt correction evidence,Section 5
HITECH-13406-R4,13406,HITECH_SUBTITLE_D,Penalty - Tier 4 Willful Neglect (Not Corrected),Penalties for willful neglect violations not corrected within 30 days range from $20000 to $50000 per violation minimum and maximum $100000 to $1.5 million annually,Penalty,Entity-specific,HHS OCR,Per violation,Penalty assessment documentation,Enforcement & Penalties,High,Active,Mandatory corrective action; Compliance evidence required,Section 5
HITECH-13406-R5,13406,HITECH_SUBTITLE_D,Penalty Mitigation - Recognized Security Practices,Penalties for Tier 3 violations may be reduced or waived if entity demonstrated implementation of recognized security practices for 12+ months preceding breach violation (Safe Harbor Amendment 2021),Mitigation,Enterprise-wide,Covered Entities and Business Associates,12+ months before incident,Documentation of recognized practices; Security audit records,Penalty Mitigation & Safe Harbor,High,Active,NIST CSF compliance; Encryption standards; Access controls; MFA; Audit logging,Section 5; Section 13418
HITECH-13407-R1,13407,HITECH_SUBTITLE_D,OCR Authority - Investigation,HHS OCR has authority to investigate HIPAA and HITECH violations including responding to complaints and issuing subpoenas,Enforcement,Complaint-specific,HHS OCR,Per complaint,Investigation completion; Findings documentation,Enhanced Enforcement Authority,High,Active,Complaint intake process; Investigation procedures; Documentation standards,Section 5
HITECH-13407-R2,13407,HITECH_SUBTITLE_D,OCR Authority - Audits,HHS OCR has authority to conduct periodic compliance audits both desk audits and on-site audits of covered entities and business associates,Enforcement,Enterprise-wide,HHS OCR,Per audit schedule,Audit completion; Findings documentation,Enhanced Enforcement Authority,High,Active,Audit procedures; Record retention; Audit cooperation,Section 5
HITECH-13407-R3,13407,HITECH_SUBTITLE_D,OCR Authority - Penalty Assessment,HHS OCR has authority to assess civil monetary penalties for HIPAA and HITECH violations following investigation,Enforcement,Entity-specific,HHS OCR,Per violation,Penalty notice; Payment records,Enhanced Enforcement Authority,High,Active,Penalty calculation; Payment procedures,Section 5; Section 13406
HITECH-13408-R1,13408,HITECH_SUBTITLE_A,Business Associate - Safeguards Implementation,Business associates must implement HIPAA Privacy Rule and Security Rule safeguards as required by covered entity agreements,Operational,Enterprise-wide,Business Associates,Ongoing,Safeguard audit; Compliance assessment,Business Associate Compliance,High,Active,Safeguard inventory; Implementation procedures; Audit trails,Section 6; Section 8
HITECH-13408-R2,13408,HITECH_SUBTITLE_A,Business Associate - Risk Assessment,Business associates must conduct regular risk assessments of PHI security vulnerabilities and implement remediation measures,Operational,Enterprise-wide,Business Associates,Annual minimum,Risk assessment report; Remediation tracking,Business Associate Compliance,High,Active,Risk assessment methodology; Vulnerability scanning; Remediation procedures,Section 8; Section 6
HITECH-13408-R3,13408,HITECH_SUBTITLE_A,Business Associate - Audit Logging,Business associates must maintain comprehensive audit logs of all PHI access and changes with retention period of at least 6 years,Operational,Enterprise-wide,Business Associates,Continuous,Audit log records; Log retention verification,Business Associate Compliance,High,Active,Log retention policies; Access logging; Change tracking,Section 8
HITECH-13408-R4,13408,HITECH_SUBTITLE_A,Business Associate - Breach Notification,Business associates must notify covered entities of breaches of unsecured PHI within 60 calendar days including affected individuals data involved and mitigation steps,Operational,Enterprise-wide,Business Associates,Within 60 days,Breach notification records; Completeness verification,Business Associate Compliance,High,Active,Breach notification procedures; Contact protocols; Escalation procedures,Section 6; Section 13404
HITECH-13409-R1,13409,HITECH_SUBTITLE_D,Criminal Liability - Knowing Violation,Individuals who knowingly obtain or disclose PHI under false pretenses face criminal penalties up to $250000 fine and or 10 years imprisonment,Criminal,Individual,Department of Justice,Per violation,Criminal prosecution records,Enhanced Enforcement Authority,High,Active,Legal compliance; Training; Access controls; Audit monitoring,Section 5
HITECH-13409-R2,13409,HITECH_SUBTITLE_D,Criminal Liability - Commercial Advantage,Criminal liability applies to those who knowingly obtain or disclose PHI with intent to obtain commercial advantage or private gain,Criminal,Individual,Department of Justice,Per violation,Criminal prosecution records,Enhanced Enforcement Authority,High,Active,Access control; Monitoring; Investigation procedures,Section 5
HITECH-13410-R1,13410,HITECH_SUBTITLE_A,Accounting of Disclosures - 3-Year History,Covered entities and business associates must maintain detailed accounting of all PHI disclosures for 3-year period upon request,Operational,Enterprise-wide,Covered Entities and Business Associates,Ongoing,Disclosure records; Accounting documentation,Privacy Enhancements,High,Active,Disclosure tracking system; Record retention; Audit logging,Section 8
HITECH-13410-R2,13410,HITECH_SUBTITLE_A,Accounting of Disclosures - Content,Accounting must include date of disclosure recipient of PHI purpose of disclosure type of PHI disclosed and description of information,Operational,Enterprise-wide,Covered Entities and Business Associates,Within 30 days of request,Accounting completeness review; Documentation standards,Privacy Enhancements,High,Active,Accounting templates; Content standards; Quality procedures,Section 8
HITECH-13410-R3,13410,HITECH_SUBTITLE_A,Accounting of Disclosures - Timeliness,Covered entities must provide accounting of disclosures within 30 calendar days of individual request,Operational,Request-specific,Covered Entities and Business Associates,Within 30 days,Disclosure records with timestamps; Response tracking,Privacy Enhancements,High,Active,Request intake; Timeline tracking; Compliance monitoring,Section 8
HITECH-13411-R1,13411,HITECH_SUBTITLE_A,Restrictions on Use and Disclosure - Individual Request,Individuals have right to request restrictions on use and disclosure of PHI for any purpose including treatment payment and operations,Operational,Request-specific,Covered Entities,Ongoing,Restriction request procedures; Documentation,Privacy Enhancements,Medium,Active,Request intake process; Documentation standards; Communication procedures,Section 8
HITECH-13411-R2,13411,HITECH_SUBTITLE_A,Restrictions on Use and Disclosure - Implementation,Covered entities must implement restrictions requested by individuals and ensure restrictions are applied and maintained,Operational,Enterprise-wide,Covered Entities,Upon request,Restriction documentation; Compliance verification,Privacy Enhancements,Medium,Active,Restriction tracking system; Notification procedures; Compliance monitoring,Section 8
HITECH-13416-R1,13416,HITECH_SUBTITLE_D,Corrective Action Plan - Development,Upon identification of violations covered entities and business associates must develop corrective action plans including root cause analysis remediation steps and implementation timelines,Operational,Entity-specific,Covered Entities and Business Associates,Following violation identification,CAP documentation; Root cause analysis; Implementation tracking,Enforcement & Remediation,High,Active,CAP templates; Analysis procedures; Tracking procedures,Section 5
HITECH-13416-R2,13416,HITECH_SUBTITLE_D,Corrective Action Plan - Implementation,Corrective action plans must be implemented with OCR monitoring and verification of compliance with specified timelines and success metrics,Operational,Entity-specific,Covered Entities and Business Associates,Per CAP timeline,Implementation records; Progress tracking; Completion verification,Enforcement & Remediation,High,Active,Progress tracking; Monitoring procedures; Completion procedures,Section 5
HITECH-13417-R1,13417,HITECH_SUBTITLE_A,Privacy and Security Rules - Risk Assessment,Covered entities and business associates must conduct regular risk assessments of ePHI storage transmission and systems identifying vulnerabilities and threats,Operational,Enterprise-wide,Covered Entities and Business Associates,Annual minimum,Risk assessment reports; Remediation tracking,Privacy & Security Enhancements,High,Active,Risk assessment methodology; Vulnerability analysis; Remediation procedures,Section 8
HITECH-13417-R2,13417,HITECH_SUBTITLE_A,Privacy and Security Rules - Encryption,Covered entities and business associates must encrypt electronic PHI at rest using AES-256 or equivalent and in transit using TLS 1.2 or higher,Operational,Enterprise-wide,Covered Entities and Business Associates,Immediate implementation,Encryption inventory; Technical controls verification,Privacy & Security Enhancements,High,Active,Encryption standards documentation; Technical implementation; Audit procedures,Section 8
HITECH-13417-R3,13417,HITECH_SUBTITLE_A,Privacy and Security Rules - Access Controls,Covered entities and business associates must implement strong access controls including unique user identification multi-factor authentication role-based access control and session timeouts,Operational,Enterprise-wide,Covered Entities and Business Associates,Immediate implementation,Access control verification; Testing records,Privacy & Security Enhancements,High,Active,User ID policy; MFA procedures; RBAC configuration; Timeout settings,Section 8
HITECH-13417-R4,13417,HITECH_SUBTITLE_A,Privacy and Security Rules - Audit Logging,Covered entities and business associates must maintain comprehensive audit logs of all PHI access and system changes with retention of at least 6 years,Operational,Enterprise-wide,Covered Entities and Business Associates,Continuous,Audit log records; Log retention verification,Privacy & Security Enhancements,High,Active,Log retention policy; Tamper detection; Access tracking,Section 8
HITECH-13418-R1,13418,HITECH_SUBTITLE_D,Safe Harbor - Recognized Security Practices,Entities implementing recognized security practices from NIST Cybersecurity Framework or HHS 45 CFR 164.308(a)(7) guidance for 12+ months preceding breach may receive penalty reduction or waiver for Tier 3 violations,Mitigation,Enterprise-wide,Covered Entities and Business Associates,12+ months implementation before incident,Documentation of practices; Security audit records; Training records,Penalty Mitigation & Safe Harbor,High,Active,NIST CSF compliance; Implementation documentation; Audit trails,Section 5
HITECH-13419-R1,13419,HITECH_SUBTITLE_D,State Attorney General - Civil Action Authority,State attorneys general have authority to pursue civil actions against entities for HIPAA and HITECH violations affecting state residents,Enforcement,State-specific,State Attorneys General,Per investigation,Civil litigation; Settlement records,Enhanced Enforcement Authority,High,Active,Legal compliance; Cooperation with state AG,Section 5
HITECH-13419-R2,13419,HITECH_SUBTITLE_D,State Attorney General - Damages Recovery,State AGs can recover actual damages statutory damages up to $100 per violation court costs and attorney fees for HIPAA and HITECH violations,Enforcement,State-specific,State Attorneys General,Per action,Settlement records; Damage calculations,Enhanced Enforcement Authority,High,Active,Settlement procedures; Documentation,Section 5
HITECH-13423-R1,13423,HITECH_SUBTITLE_A,Subcontractor - Direct Liability,Subcontractors and downstream vendors are directly liable under HIPAA for violations with same penalties as covered entities and business associates,Operational,Enterprise-wide,Subcontractors,Ongoing,Subcontractor agreement execution; Compliance verification,Business Associate Accountability,High,Active,Written agreements; Compliance terms; Verification procedures,Section 6
HITECH-13423-R2,13423,HITECH_SUBTITLE_A,Subcontractor - Written Agreement,Covered entities and business associates must execute written agreements with all subcontractors flowing down HIPAA and HITECH compliance obligations,Contractual,Enterprise-wide,Covered Entities and Business Associates,Ongoing,Subcontractor agreement files; Flow-down verification,Business Associate Accountability,High,Active,Agreement templates; Flow-down language; Tracking procedures,Section 6
HITECH-13423-R3,13423,HITECH_SUBTITLE_A,Subcontractor - Breach Notification,Subcontractors must notify business associates and covered entities of breaches of unsecured PHI within 60 calendar days with affected individual details,Operational,Enterprise-wide,Subcontractors,Within 60 days,Breach notification records; Completeness verification,Business Associate Accountability,High,Active,Breach notification procedures; Contact lists; Escalation paths,Section 6
HITECH-13424-R1,13424,HITECH_SUBTITLE_D,Mitigating Factors - Good Faith Effort,OCR may reduce penalties if entity demonstrates good faith effort to comply with HIPAA and HITECH requirements,Mitigation,Entity-specific,HHS OCR,Per violation assessment,Compliance evidence; Good faith documentation,Penalty Assessment Factors,Medium,Active,Compliance documentation; Training records; Policy implementation,Section 5
HITECH-13424-R2,13424,HITECH_SUBTITLE_D,Mitigating Factors - Prior Violations,OCR considers prior violation history when assessing penalties with fewer prior violations generally resulting in lower penalties,Mitigation,Entity-specific,HHS OCR,Per violation assessment,Violation history; Compliance improvement evidence,Penalty Assessment Factors,Medium,Active,Compliance history; Improvement documentation,Section 5
HITECH-13424-R3,13424,HITECH_SUBTITLE_D,Mitigating Factors - Recognized Security Practices,OCR considers implementation of recognized security practices when assessing penalties which may result in reduction or waiver particularly for Tier 3 violations,Mitigation,Enterprise-wide,HHS OCR,Per violation assessment,Security implementation documentation; Audit records,Penalty Assessment Factors,High,Active,NIST CSF compliance; Security audit results; Implementation evidence,Section 5; Section 13418
HITECH-13412-R1,13412,HITECH_SUBTITLE_B,Certified EHR - Functional Requirements,Certified EHR systems must include patient medical record management electronic prescribing drug interaction checking lab result viewing secure messaging audit logs and access controls,Operational,System-specific,EHR Vendors and Covered Entities,Upon certification,Certification documentation; Feature testing; Compliance verification,EHR Certification & Standards,High,Active,Functional testing; System documentation; Feature verification,Section 7
HITECH-13412-R2,13412,HITECH_SUBTITLE_B,Certified EHR - Security Standards,Certified EHR systems must meet ONC security standards including encryption access control audit logging and incident response capabilities,Operational,System-specific,EHR Vendors and Covered Entities,Upon certification,Security testing; Certification records; Audit trails,EHR Certification & Standards,High,Active,Security testing procedures; Compliance verification; Audit documentation,Section 7
HITECH-13412-R3,13412,HITECH_SUBTITLE_B,Certified EHR - Interoperability,Certified EHR systems must support health information exchange through APIs and standards-based data exchange,Operational,System-specific,EHR Vendors and Covered Entities,Upon certification,Interoperability testing; Data exchange verification; API documentation,EHR Certification & Standards,High,Active,Interoperability testing; API compliance; Data standards,Section 7
HITECH-13420-R1,13420,HITECH_SUBTITLE_B,EHR Testing - ONC Certification Testing,Vendors must submit EHR systems to ONC-designated testing bodies for certification testing validating compliance with functional security and privacy requirements,Operational,Vendor-specific,EHR Vendors,Prior to system deployment,Certification testing results; ONC approval; Compliance documentation,EHR Certification & Standards,High,Active,Testing procedures; Documentation; Compliance evidence,Section 7
HITECH-13420-R2,13420,HITECH_SUBTITLE_B,EHR Testing - Certification Maintenance,EHR vendors must maintain certification of systems ensuring ongoing compliance with standards and undergoing recertification annually or when systems are updated,Operational,System-specific,EHR Vendors,Annual recertification,Certification records; Update documentation; Recertification completion,EHR Certification & Standards,High,Active,Recertification procedures; Version tracking; Compliance monitoring,Section 7
HITECH-13421-R1,13421,HITECH_SUBTITLE_C and B,EHR Incentives - Eligible Provider,Eligible providers must adopt ONC-certified EHR systems and demonstrate meaningful use to qualify for Medicare and Medicaid incentive payments,Operational,Provider-specific,Covered Entities and Providers,Ongoing per program year,Attestation submission; Meaningful use documentation; Payment records,EHR Incentive Programs,High,Active,Meaningful use tracking; Objective achievement; Attestation procedures,Section 7
HITECH-13421-R2,13421,HITECH_SUBTITLE_C and B,EHR Incentives - Meaningful Use Objectives,Providers must achieve clinical administrative and interoperability objectives to demonstrate meaningful use of certified EHR systems,Operational,Provider-specific,Covered Entities and Providers,Annual measurement period,Objective achievement records; Data validation; Attestation documentation,EHR Incentive Programs,High,Active,Objective tracking; Data collection; Reporting procedures,Section 7
HITECH-13421-R3,13421,HITECH_SUBTITLE_C and B,EHR Incentives - Incentive Payments,Providers demonstrating meaningful use receive Medicare and Medicaid payments on sliding scale with payments decreasing over time and transitioning to MIPS framework,Operational,Provider-specific,CMS,Per program year,Payment records; Attestation submissions; Compliance documentation,EHR Incentive Programs,High,Active,Payment tracking; Attestation procedures; Compliance documentation,Section 7
HITECH-13413-R1,13413,HITECH_SUBTITLE_C,Grants - Eligibility,HHS and CMS provide grants to eligible healthcare organizations and providers for EHR adoption implementation and workforce training,Operational,Organization-specific,Healthcare Providers and Organizations,Ongoing application periods,Grant application; Eligibility verification; Award documentation,EHR Adoption Support,High,Active,Application procedures; Eligibility documentation; Award tracking,Section 7
HITECH-13413-R2,13413,HITECH_SUBTITLE_C,Grants - Permitted Uses,Grant funds must be used for EHR acquisition implementation workforce training and health IT infrastructure development,Operational,Organization-specific,Healthcare Providers and Organizations,Per grant period,Budget documentation; Expenditure records; Audit results,EHR Adoption Support,High,Active,Budget allocation; Expense tracking; Audit procedures,Section 7
HITECH-13414-R1,13414,HITECH_SUBTITLE_C,Loans - Loan Programs,HHS and CMS establish loan programs with favorable interest rates for healthcare providers to finance EHR technology acquisition and implementation,Operational,Organization-specific,Healthcare Providers and Organizations,Ongoing,Loan agreement; Disbursement records; Repayment schedule,EHR Adoption Support,High,Active,Loan procedures; Repayment tracking,Section 7
HITECH-13414-R2,13414,HITECH_SUBTITLE_C,Loans - Favorable Terms,EHR loans offer favorable interest rates terms and schedules to reduce capital barriers to technology adoption,Operational,Organization-specific,Healthcare Providers and Organizations,Per loan terms,Loan documentation; Interest calculations; Repayment records,EHR Adoption Support,Medium,Active,Loan term documentation; Payment procedures,Section 7
HITECH-13415-R1,13415,HITECH_SUBTITLE_C,Workforce Training - Program Development,HHS and CMS fund development of health IT workforce training programs including clinical informatics EHR system training and organizational change management,Operational,Program-specific,Training Organizations and Healthcare Institutions,Ongoing,Training program documentation; Curriculum; Enrollment records,EHR Workforce Development,High,Active,Curriculum development; Training delivery; Participant tracking,Section 7
HITECH-13415-R2,13415,HITECH_SUBTITLE_C,Workforce Training - Certification Programs,Training programs must include certification options for health IT professionals to develop qualified workforce,Operational,Program-specific,Training Organizations,Ongoing,Certification program documentation; Completion records; Credential verification,EHR Workforce Development,High,Active,Certification procedures; Credential tracking; Quality assurance,Section 7