dispositivo_id,artigo_id,tipo,rotulo,texto,status,nota_alteracao,parent_id,parent_type,source_document
art_1_pu,art_1,parágrafo único,Parágrafo único,"Parágrafo único. As normas gerais contidas nesta Lei são de interesse nacional e devem ser observadas pela União, Estados, Distrito Federal e Municípios. (Parágrafo único acrescido pela Lei nº 13.853, de 8/7/2019)",vigente,"(Parágrafo único acrescido pela Lei nº 13.853, de 8/7/2019)",art_1,Artigo,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
art_2_inc_I,art_2,inciso,I,I - o respeito à privacidade;,vigente,,art_2,Artigo,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
art_2_inc_II,art_2,inciso,II,II - a autodeterminação informativa;,vigente,,art_2,Artigo,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
art_2_inc_III,art_2,inciso,III,"III - a liberdade de expressão, de informação, de comunicação e de opinião;",vigente,,art_2,Artigo,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
art_2_inc_IV,art_2,inciso,IV,"IV - a inviolabilidade da intimidade, da honra e da imagem;",vigente,,art_2,Artigo,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
art_2_inc_V,art_2,inciso,V,V - o desenvolvimento econômico e tecnológico e a inovação;,vigente,,art_2,Artigo,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
art_2_inc_VI,art_2,inciso,VI,"VI - a livre iniciativa, a livre concorrência e a defesa do consumidor; e",vigente,,art_2,Artigo,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
art_2_inc_VII,art_2,inciso,VII,"VII - os direitos humanos, o livre desenvolvimento da personalidade, a dignidade e o exercício da cidadania pelas pessoas naturais.",vigente,,art_2,Artigo,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
art_3_inc_I,art_3,inciso,I,I - a operação de tratamento seja realizada no território nacional;,vigente,,art_3,Artigo,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
art_3_inc_II,art_3,inciso,II,"II - a atividade de tratamento tenha por objetivo a oferta ou o fornecimento de bens ou serviços ou o tratamento de dados de indivíduos localizados no território nacional; ou (Inciso com redação dada pela Medida Provisória nº 869, de 27/12/2018, convertida na Lei nº 13.853, de 8/7/2019)",vigente,"(Inciso com redação dada pela Medida Provisória nº 869, de 27/12/2018, convertida na Lei nº 13.853, de 8/7/2019)",art_3,Artigo,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
art_3_inc_III,art_3,inciso,III,III - os dados pessoais objeto do tratamento tenham sido coletados no território nacional.,vigente,,art_3,Artigo,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
art_3_par_1,art_3,parágrafo,§ 1º,§ 1º Consideram-se coletados no território nacional os dados pessoais cujo titular nele se encontre no momento da coleta.,vigente,,art_3,Artigo,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
art_3_par_2,art_3,parágrafo,§ 2º,§ 2º Excetua-se do disposto no inciso I deste artigo o tratamento de dados previsto no inciso IV do caput do art. 4º desta Lei.,vigente,,art_3,Artigo,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
art_4_inc_I,art_4,inciso,I,I - realizado por pessoa natural para fins exclusivamente particulares e não econômicos;,vigente,,art_4,Artigo,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
art_4_inc_II,art_4,inciso,II,II - realizado para fins exclusivamente:,vigente,,art_4,Artigo,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
art_4_inc_II_ali_a,art_4,alínea,a),a) jornalístico e artísticos; ou,vigente,,art_4_inc_II,Dispositivo,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
art_4_inc_II_ali_b,art_4,alínea,b),"b) acadêmicos, aplicando-se a esta hipótese os arts. 7º e 11 desta Lei;",vigente,,art_4_inc_II,Dispositivo,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
art_4_inc_III,art_4,inciso,III,III - realizado para fins exclusivos de:,vigente,,art_4,Artigo,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
art_4_inc_III_ali_a,art_4,alínea,a),a) segurança pública;,vigente,,art_4_inc_III,Dispositivo,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
art_4_inc_III_ali_b,art_4,alínea,b),b) defesa nacional;,vigente,,art_4_inc_III,Dispositivo,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
art_4_inc_III_ali_c,art_4,alínea,c),c) segurança do Estado; ou,vigente,,art_4_inc_III,Dispositivo,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
art_4_inc_III_ali_d,art_4,alínea,d),d) atividades de investigação e repressão de infrações penais; ou,vigente,,art_4_inc_III,Dispositivo,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
art_4_inc_IV,art_4,inciso,IV,"IV - provenientes de fora do território nacional e que não sejam objeto de comunicação, uso compartilhado de dados com agentes de tratamento brasileiros ou objeto de transferência internacional de dados com outro país que não o de proveniência, desde que o país de proveniência proporcione grau de proteção de dados pessoais adequado ao previsto nesta Lei.",vigente,,art_4,Artigo,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
art_4_par_1,art_4,parágrafo,§ 1º,"§ 1º O tratamento de dados pessoais previsto no inciso III será regido por legislação específica, que deverá prever medidas proporcionais e estritamente necessárias ao atendimento do interesse público, observados o devido processo legal, os princípios gerais de proteção e os direitos do titular previstos nesta Lei.",vigente,,art_4,Artigo,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
art_4_par_2,art_4,parágrafo,§ 2º,"§ 2º É vedado o tratamento dos dados a que se refere o inciso III do caput deste artigo por pessoa de direito privado, exceto em procedimentos sob tutela de pessoa jurídica de direito público, que serão objeto de informe específico à autoridade nacional e que deverão observar a limitação imposta no § 4º deste artigo.",vigente,,art_4,Artigo,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
art_4_par_3,art_4,parágrafo,§ 3º,§ 3º A autoridade nacional emitirá opiniões técnicas ou recomendações referentes às exceções previstas no inciso III do caput deste artigo e deverá solicitar aos responsáveis relatórios de impacto à proteção de dados pessoais.,vigente,,art_4,Artigo,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
art_4_par_4,art_4,parágrafo,§ 4º,"§ 4º Em nenhum caso a totalidade dos dados pessoais de banco de dados de que trata o inciso III do caput deste artigo poderá ser tratada por pessoa de direito privado, salvo por aquela que possua capital integralmente constituído pelo poder público. (Parágrafo com redação dada pela Lei nº 13.853, de 8/7/2019)",vigente,"(Parágrafo com redação dada pela Lei nº 13.853, de 8/7/2019)",art_4,Artigo,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
art_5_inc_I,art_5,inciso,I,I - dado pessoal: informação relacionada a pessoa natural identificada ou identificável;,vigente,,art_5,Artigo,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
art_5_inc_II,art_5,inciso,II,"II - dado pessoal sensível: dado pessoal sobre origem racial ou étnica, convicção religiosa, opinião política, filiação a sindicato ou a organização de caráter religioso, filosófico ou político, dado referente à saúde ou à vida sexual, dado genético ou biométrico, quando vinculado a uma pessoa natural;",vigente,,art_5,Artigo,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
art_5_inc_III,art_5,inciso,III,"III - dado anonimizado: dado relativo a titular que não possa ser identificado, considerando a utilização de meios técnicos razoáveis e disponíveis na ocasião de seu tratamento;",vigente,,art_5,Artigo,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
art_5_inc_IV,art_5,inciso,IV,"IV - banco de dados: conjunto estruturado de dados pessoais, estabelecido em um ou em vários locais, em suporte eletrônico ou físico;",vigente,,art_5,Artigo,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
art_5_inc_V,art_5,inciso,V,V - titular: pessoa natural a quem se referem os dados pessoais que são objeto de tratamento;,vigente,,art_5,Artigo,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
art_5_inc_VI,art_5,inciso,VI,"VI - controlador: pessoa natural ou jurídica, de direito público ou privado, a quem competem as decisões referentes ao tratamento de dados pessoais;",vigente,,art_5,Artigo,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
art_5_inc_VII,art_5,inciso,VII,"VII - operador: pessoa natural ou jurídica, de direito público ou privado, que realiza o tratamento de dados pessoais em nome do controlador;",vigente,,art_5,Artigo,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
art_5_inc_VIII,art_5,inciso,VIII,"VIII - encarregado: pessoa indicada pelo controlador e operador para atuar como canal de comunicação entre o controlador, os titulares dos dados e a Agência Nacional de Proteção de Dados (ANPD); (Inciso com redação dada pela Medida Provisória nº 1.317, de 17/9/2025, convertida na Lei nº 15.352, de 25/2/2026)",vigente,"(Inciso com redação dada pela Medida Provisória nº 1.317, de 17/9/2025, convertida na Lei nº 15.352, de 25/2/2026)",art_5,Artigo,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
art_5_inc_IX,art_5,inciso,IX,IX - agentes de tratamento: o controlador e o operador;,vigente,,art_5,Artigo,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
art_5_inc_X,art_5,inciso,X,"X - tratamento: toda operação realizada com dados pessoais, como as que se referem a coleta, produção, recepção, classificação, utilização, acesso, reprodução, transmissão, distribuição, processamento, arquivamento, armazenamento, eliminação, avaliação ou controle da informação, modificação, comunicação, transferência, difusão ou extração;",vigente,,art_5,Artigo,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
art_5_inc_XI,art_5,inciso,XI,"XI - anonimização: utilização de meios técnicos razoáveis e disponíveis no momento do tratamento, por meio dos quais um dado perde a possibilidade de associação, direta ou indireta, a um indivíduo;",vigente,,art_5,Artigo,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
art_5_inc_XII,art_5,inciso,XII,"XII - consentimento: manifestação livre, informada e inequívoca pela qual o titular concorda com o tratamento de seus dados pessoais para uma finalidade determinada;",vigente,,art_5,Artigo,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
art_5_inc_XIII,art_5,inciso,XIII,"XIII - bloqueio: suspensão temporária de qualquer operação de tratamento, mediante guarda do dado pessoal ou do banco de dados;",vigente,,art_5,Artigo,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
art_5_inc_XIV,art_5,inciso,XIV,"XIV - eliminação: exclusão de dado ou de conjunto de dados armazenados em banco de dados, independentemente do procedimento empregado;",vigente,,art_5,Artigo,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
art_5_inc_XV,art_5,inciso,XV,XV - transferência internacional de dados: transferência de dados pessoais para país estrangeiro ou organismo internacional do qual o país seja membro;,vigente,,art_5,Artigo,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
art_5_inc_XVI,art_5,inciso,XVI,"XVI - uso compartilhado de dados: comunicação, difusão, transferência internacional, interconexão de dados pessoais ou tratamento compartilhado de bancos de dados pessoais por órgãos e entidades públicos no cumprimento de suas competências legais, ou entre esses e entes privados, reciprocamente, com autorização específica, para uma ou mais modalidades de tratamento permitidas por esses entes públicos, ou entre entes privados;",vigente,,art_5,Artigo,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
art_5_inc_XVII,art_5,inciso,XVII,"XVII - relatório de impacto à proteção de dados pessoais: documentação do controlador que contém a descrição dos processos de tratamento de dados pessoais que podem gerar riscos às liberdades civis e aos direitos fundamentais, bem como medidas, salvaguardas e mecanismos de mitigação de risco;",vigente,,art_5,Artigo,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
art_5_inc_XVIII,art_5,inciso,XVIII,"XVIII - órgão de pesquisa: órgão ou entidade da administração pública direta ou indireta ou pessoa jurídica de direito privado sem fins lucrativos legalmente constituída sob as leis brasileiras, com sede e foro no País, que inclua em sua missão institucional ou em seu objetivo social ou estatutário a pesquisa básica ou aplicada de caráter histórico, científico, tecnológico ou estatístico; e (Inciso com redação dada pela Medida Provisória nº 869, de 27/12/2018, convertida na Lei nº 13.853, de 8/7/2019)",vigente,"(Inciso com redação dada pela Medida Provisória nº 869, de 27/12/2018, convertida na Lei nº 13.853, de 8/7/2019)",art_5,Artigo,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
art_5_inc_XIX,art_5,inciso,XIX,"XIX - autoridade nacional: entidade da administração pública responsável por zelar, implementar e fiscalizar o cumprimento desta Lei em todo o território nacional. (Inciso com redação dada pela Medida Provisória nº 1.317, de 17/9/2025 , convertida na Lei nº 15.352, de 25/2/2026)",vigente,"(Inciso com redação dada pela Medida Provisória nº 1.317, de 17/9/2025 , convertida na Lei nº 15.352, de 25/2/2026)",art_5,Artigo,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
art_6_inc_I,art_6,inciso,I,"I - finalidade: realização do tratamento para propósitos legítimos, específicos, explícitos e informados ao titular, sem possibilidade de tratamento posterior de forma incompatível com essas finalidades;",vigente,,art_6,Artigo,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
art_6_inc_II,art_6,inciso,II,"II - adequação: compatibilidade do tratamento com as finalidades informadas ao titular, de acordo com o contexto do tratamento;",vigente,,art_6,Artigo,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
art_6_inc_III,art_6,inciso,III,"III - necessidade: limitação do tratamento ao mínimo necessário para a realização de suas finalidades, com abrangência dos dados pertinentes, proporcionais e não excessivos em relação às finalidades do tratamento de dados;",vigente,,art_6,Artigo,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
art_6_inc_IV,art_6,inciso,IV,"IV - livre acesso: garantia, aos titulares, de consulta facilitada e gratuita sobre a forma e a duração do tratamento, bem como sobre a integralidade de seus dados pessoais;",vigente,,art_6,Artigo,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
art_6_inc_V,art_6,inciso,V,"V - qualidade dos dados: garantia, aos titulares, de exatidão, clareza, relevância e atualização dos dados, de acordo com a necessidade e para o cumprimento da finalidade de seu tratamento;",vigente,,art_6,Artigo,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
art_6_inc_VI,art_6,inciso,VI,"VI - transparência: garantia, aos titulares, de informações claras, precisas e facilmente acessíveis sobre a realização do tratamento e os respectivos agentes de tratamento, observados os segredos comercial e industrial;",vigente,,art_6,Artigo,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
art_6_inc_VII,art_6,inciso,VII,"VII - segurança: utilização de medidas técnicas e administrativas aptas a proteger os dados pessoais de acessos não autorizados e de situações acidentais ou ilícitas de destruição, perda, alteração, comunicação ou difusão;",vigente,,art_6,Artigo,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
art_6_inc_VIII,art_6,inciso,VIII,VIII - prevenção: adoção de medidas para prevenir a ocorrência de danos em virtude do tratamento de dados pessoais;,vigente,,art_6,Artigo,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
art_6_inc_IX,art_6,inciso,IX,IX - não discriminação: impossibilidade de realização do tratamento para fins discriminatórios ilícitos ou abusivos;,vigente,,art_6,Artigo,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
art_6_inc_X,art_6,inciso,X,"X- responsabilização e prestação de contas: demonstração, pelo agente, da adoção de medidas eficazes e capazes de comprovar a observância e o cumprimento das normas de proteção de dados pessoais e, inclusive, da eficácia dessas medidas.",vigente,,art_6,Artigo,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
art_7_inc_I,art_7,inciso,I,I - mediante o fornecimento de consentimento pelo titular;,vigente,,art_7,Artigo,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
art_7_inc_II,art_7,inciso,II,II - para o cumprimento de obrigação legal ou regulatória pelo controlador;,vigente,,art_7,Artigo,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
art_7_inc_III,art_7,inciso,III,"III - pela administração pública, para o tratamento e uso compartilhado de dados necessários à execução de políticas públicas previstas em leis e regulamentos ou respaldadas em contratos, convênios ou instrumentos congêneres, observadas as disposições do Capítulo IV desta Lei;",vigente,,art_7,Artigo,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
art_7_inc_IV,art_7,inciso,IV,"IV - para a realização de estudos por órgão de pesquisa, garantida, sempre que possível, a anonimização dos dados pessoais;",vigente,,art_7,Artigo,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
art_7_inc_V,art_7,inciso,V,"V - quando necessário para a execução de contrato ou de procedimentos preliminares relacionados a contrato do qual seja parte o titular, a pedido do titular dos dados;",vigente,,art_7,Artigo,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
art_7_inc_VI,art_7,inciso,VI,"VI - para o exercício regular de direitos em processo judicial, administrativo ou arbitral, esse último nos termos da Lei nº 9.307, de 23 de setembro de 1996 (Lei de Arbitragem);",vigente,,art_7,Artigo,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
art_7_inc_VII,art_7,inciso,VII,VII - para a proteção da vida ou da incolumidade física do titular ou de terceiro;,vigente,,art_7,Artigo,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
art_7_inc_VIII,art_7,inciso,VIII,"VIII - para a tutela da saúde, exclusivamente, em procedimento realizado por profissionais de saúde, serviços de saúde ou autoridade sanitária; (Inciso com redação dada pela Lei nº 13.853, de 8/7/2019)",vigente,"(Inciso com redação dada pela Lei nº 13.853, de 8/7/2019)",art_7,Artigo,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
art_7_inc_IX,art_7,inciso,IX,"IX - quando necessário para atender aos interesses legítimos do controlador ou de terceiro, exceto no caso de prevalecerem direitos e liberdades fundamentais do titular que exijam a proteção dos dados pessoais; ou",vigente,,art_7,Artigo,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
art_7_inc_X,art_7,inciso,X,"X - para a proteção do crédito, inclusive quanto ao disposto na legislação pertinente.",vigente,,art_7,Artigo,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
art_7_par_1,art_7,parágrafo,§ 1º,"§ 1º (Revogado pela Medida Provisória nº 869, de 27/12/2018, convertida na Lei nº 13.853, de 8/7/2019)",revogado,,art_7,Artigo,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
art_7_par_2,art_7,parágrafo,§ 2º,"§ 2º (Revogado pela Medida Provisória nº 869, de 27/12/2018, convertida na Lei nº 13.853, de 8/7/2019)",revogado,,art_7,Artigo,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
art_7_par_3,art_7,parágrafo,§ 3º,"§ 3º O tratamento de dados pessoais cujo acesso é público deve considerar a finalidade, a boa-fé e o interesse público que justificaram sua disponibilização.",vigente,,art_7,Artigo,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
art_7_par_4,art_7,parágrafo,§ 4º,"§ 4º É dispensada a exigência do consentimento previsto no caput deste artigo para os dados tornados manifestamente públicos pelo titular, resguardados os direitos do titular e os princípios previstos nesta Lei.",vigente,,art_7,Artigo,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
art_7_par_5,art_7,parágrafo,§ 5º,"§ 5º O controlador que obteve o consentimento referido no inciso I do caput deste artigo que necessitar comunicar ou compartilhar dados pessoais com outros controladores deverá obter consentimento específico do titular para esse fim, ressalvadas as hipóteses de dispensa do consentimento previstas nesta Lei.",vigente,,art_7,Artigo,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
art_7_par_6,art_7,parágrafo,§ 6º,"§ 6º A eventual dispensa da exigência do consentimento não desobriga os agentes de tratamento das demais obrigações previstas nesta Lei, especialmente da observância dos princípios gerais e da garantia dos direitos do titular.",vigente,,art_7,Artigo,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
art_7_par_7,art_7,parágrafo,§ 7º,"§ 7º O tratamento posterior dos dados pessoais a que se referem os §§ 3º e 4º deste artigo poderá ser realizado para novas finalidades, desde que observados os propósitos legítimos e específicos para o novo tratamento e a preservação dos direitos do titular, assim como os fundamentos e os princípios previstos nesta Lei. (Parágrafo acrescido pela Lei nº 13.853, de 8/7/2019)",vigente,"(Parágrafo acrescido pela Lei nº 13.853, de 8/7/2019)",art_7,Artigo,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
art_8_par_1,art_8,parágrafo,§ 1º,"§ 1º Caso o consentimento seja fornecido por escrito, esse deverá constar de cláusula destacada das demais cláusulas contratuais.",vigente,,art_8,Artigo,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
art_8_par_2,art_8,parágrafo,§ 2º,§ 2º Cabe ao controlador o ônus da prova de que o consentimento foi obtido em conformidade com o disposto nesta Lei.,vigente,,art_8,Artigo,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
art_8_par_3,art_8,parágrafo,§ 3º,§ 3º É vedado o tratamento de dados pessoais mediante vício de consentimento.,vigente,,art_8,Artigo,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
art_8_par_4,art_8,parágrafo,§ 4º,"§ 4º O consentimento deverá referir-se a finalidades determinadas, e as autorizações genéricas para o tratamento de dados pessoais serão nulas.",vigente,,art_8,Artigo,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
