subsection_id,section_id,label,text
SUB-59.1-575-A,SEC-59.1-575,A,"Definitions applicable to the Virginia Consumer Data Protection Act (VCDPA), including Consumer, Controller, Processor, Personal Data, Sensitive Data, and other key terms."
SUB-59.1-576-A,SEC-59.1-576,A,"Scope of the VCDPA - applies to controllers and processors processing personal data of Virginia residents and meeting applicable thresholds."
SUB-59.1-576-B,SEC-59.1-576,B,"Exemptions from VCDPA - government functions, HIPAA covered entities, GLBA regulated entities, and other specified exemptions."
SUB-59.1-577-A,SEC-59.1-577,A,"Consumer rights under VCDPA - right to confirm and access, correct, delete, obtain portability, and opt out of targeted advertising, sale, and profiling."
SUB-59.1-577-B,SEC-59.1-577,B,"Exercise of rights - consumers may submit authenticated requests; controllers must respond within 45 days, extendable to 90 days."
SUB-59.1-577-C,SEC-59.1-577,C,"Appeals process - consumers may appeal a refusal or partial fulfillment of a rights request."
SUB-59.1-578-A,SEC-59.1-578,A,"Controller duties regarding security - establish, implement, and maintain reasonable administrative, technical, and physical data security practices."
SUB-59.1-578-B,SEC-59.1-578,B,"Controller duties regarding notice - provide clear, reasonably accessible privacy notice at or before collection of personal data."
SUB-59.1-578-C,SEC-59.1-578,C,"Privacy notice content - must disclose categories of personal data, purposes, rights exercise methods, data sharing, and opt-out mechanisms."
SUB-59.1-579-A,SEC-59.1-579,A,"Processor requirements - must process personal data only on instructions from the controller and for limited purposes."
SUB-59.1-579-B,SEC-59.1-579,B,"Data processing agreement - required contract between controller and processor with specified mandatory terms."
SUB-59.1-580-A,SEC-59.1-580,A,"Data Protection Assessment (DPA) requirement - controllers must conduct DPA for targeted advertising, sales, profiling, and sensitive data processing."
SUB-59.1-580-B,SEC-59.1-580,B,"DPA content - must assess benefits and risks of processing, consider alternatives, and document findings."
SUB-59.1-584-A,SEC-59.1-584,A,"Enforcement authority - Virginia Attorney General has exclusive enforcement power under VCDPA."
SUB-59.1-584-B,SEC-59.1-584,B,"Cure period - 30-day mandatory period for controllers to remedy violations after receiving notice from Attorney General."
SUB-59.1-584-C,SEC-59.1-584,C,"Civil penalties - up to $7,500 per violation for uncured or continued violations of VCDPA."