requirement_id,safeguard_id
VCDPA-59.1-577-R1,SG-AUTHENTICATION
VCDPA-59.1-577-R1,SG-REQUEST_MECHANISM
VCDPA-59.1-577.C,SG-APPEAL_PROCESS
VCDPA-59.1-578-R1,SG-DATA_MINIMIZATION
VCDPA-59.1-578-R2,SG-PURPOSE_LIMITATION
VCDPA-59.1-578-R3,SG-SECURITY_PRACTICES
VCDPA-59.1-578-R4,SG-NON_DISCRIMINATION
VCDPA-59.1-578-R5,SG-CONSENT_MECHANISM
VCDPA-59.1-578.C,SG-PRIVACY_NOTICE
VCDPA-59.1-578.D,SG-OPT_OUT_DISCLOSURE
VCDPA-59.1-579.B,SG-PROCESSOR_CONTRACT
VCDPA-59.1-580-R1,SG-DPA_DOCUMENTATION
VCDPA-59.1-580-R2,SG-DPA_DOCUMENTATION